[enu default]
OB_FALLING = "%o should've watched %p step.";
OB_FRIENDLY1 = "%o became a traitor.";
OB_FRIENDLY2 = "%o is colorblind.";
OB_FRIENDLY3 = "%o is killing friendlies for money!";
OB_FRIENDLY4 = "%o is LOSING HIS F#%@ING MIND!!!";
OB_CRUSH = "%o was flattened.";

OB_ARTILLERYCANNON = "%o was demolished by %k's artillery cannon.";
OB_BOMBPACK = "%o \cIwas wiped off the face of Earth by %k.";
OB_DOUBLESHOTGUN = "%o was splattered by %k's double shotgun.";
OB_CHAINSAW = "%o was shredded by %k's chainsaw.";
OB_CHAINSAW_ALT = "%o \cgtook \cg%k's \cgchainsaw right through the face!";
OB_FIREDECAY = "%o burns in %k's firestorm.";
OB_FLAMER = "%o was fried by %k's flamethrower.";
OB_FLAMER_GRENADE = "%o was set ablaze by %k's phosphorus grenade.";
OB_GATLING = "%o was drilled by %k's gatling gun.";
OB_GATLING_JET = "%o was drilled by a flying %k's gatling gun.";
OB_GAUSS = "%o had %p torso busted by %k's gauss rifle.";
OB_GRENADE = "%o ate %k's grenade.";
OB_GRENADE_ALT = "%o played catch with %k's grenade.";
OB_IONCANNON = "%o was obliterated by %k's \chIon Cannon.";
OB_LASERCHAINGUN = "%o was incinerated by %k's laser chaingun.";
OB_KAMIKAZE = "%k make %o go boom!";
OB_KNIFE = "%o \ckwas cut up by %k!";
OB_MACHINEGUN = "%o was perforated by %k's machinegun.";
OB_MINIRAVEN_RED = "%o was pecked by a \cgRed\c- Mini-Raven.";
OB_MINIRAVEN_BLUE = "%o was pecked by a \chBlue\c- Mini-Raven.";
OB_MISSILELAUNCHER = "%o was blown out of %p boots by %k's missile.";
OB_MINE = "%o tripped over a proxy mine.";
OB_NUKE = "%o was disintegrated by %k's \cgNuclear Strike.";
OB_OBELISK_BLUE = "%o was vaporized by the \chBlue Obelisk\c-.";
OB_OBELISK_RED = "%o was vaporized by the \cgRed Obelisk\c-.";
OB_PLASMACANNON_RED = "%o was annihilated by %k's \caplasma cannon.";
OB_PLASMACANNON_BLUE = "%o was annihilated by %k's \cnplasma cannon.";
OB_PLASMACANNON_ALT_RED = "%o couldn't escape %k's \caplasma cannon.";
OB_PLASMACANNON_ALT_BLUE = "%o couldn't escape %k's \cnplasma cannon.";
OB_RIFLE = "%o was crippled by %k's rifle.";
OB_SEEKERMISSILE = "%o was found by %k's seeker missile.";
OB_SNIPER = "%o found %k's bullet in %p head.";
OB_SUBBY = "%o was tickled by %k's sub-machinegun.";

OB_ORCA = "%o was pinned down by %k's Orca.";
OB_RAVEN = "%o was pecked by %k's Raven.";
OB_MADCAT = "%o was destroyed by %k's Mad Cat.";
OB_TITAN = "%o was crushed by %k's Titan.";
OB_GUARDIAN = "%o couldn't get past %k's Guardian.";

OB_MARINE_ROCKET_BLUE = "%o nearly dodged a \chBlue marine's\c- rocket.";
OB_MARINE_ROCKET_RED = "%o nearly dodged a \cgRed marine's\c- rocket.";
OB_MARINE_SSG_BLUE = "%o was splattered by a \chBlue marine's\c- double shotgun.";
OB_MARINE_SSG_RED = "%o was splattered by a \cgRed marine's\c- double shotgun.";
OB_MARINE_TIBRIFLE_BLUE = "%o was skewered by a \chBlue marine's\c- tiberium autorifle";
OB_MARINE_TIBRIFLE_RED = "%o was skewered by a \cgRed marine's\c- tiberium autorifle";

OB_HEALRAD = "%o couldn't operate a healing radius.";

// these aren't actually meant to show up, but turrets...
OB_BOMBPACK_WTF = "%o couldn't stand %k running around screaming.";
